Timestamp,Open,High,Low,Close
2020-05-30 00:00:00,220.55,221.01,219.02,219.25
2020-05-30 00:15:00,219.25,219.5,218.73,219.08
2020-05-30 00:30:00,219.08,219.65,218.91,219.53
2020-05-30 00:45:00,219.53,219.57,219.08,219.12
2020-05-30 01:00:00,219.12,219.55,218.83,218.89
2020-05-30 01:15:00,218.89,219.86,218.81,219.78
2020-05-30 01:30:00,219.78,219.78,219.09,219.25
2020-05-30 01:45:00,219.25,219.61,219.1,219.18
2020-05-30 02:00:00,219.18,219.69,219.08,219.57
2020-05-30 02:15:00,219.57,219.71,219.29,219.44
2020-05-30 02:30:00,219.44,219.88,219.19,219.52
2020-05-30 02:45:00,219.52,219.78,219.32,219.67
2020-05-30 03:00:00,219.64,219.89,219.07,219.29
2020-05-30 03:15:00,219.29,219.31,218.95,219.15
2020-05-30 03:30:00,219.15,220.95,219.1,220.78
2020-05-30 03:45:00,220.78,222.73,220.66,222.73
2020-05-30 04:00:00,222.73,226.19,222.38,225.06
2020-05-30 04:15:00,225.06,227.23,225.06,227.15
2020-05-30 04:30:00,227.15,229.48,226.91,229.42
2020-05-30 04:45:00,229.42,230.09,227.6,228.03
2020-05-30 05:00:00,228.03,228.86,228.0,228.01
2020-05-30 05:15:00,228.01,228.64,227.79,228.09
2020-05-30 05:30:00,228.09,229.34,228.08,228.86
2020-05-30 05:45:00,228.86,231.73,228.72,231.73
2020-05-30 06:00:00,231.73,233.21,230.57,230.7
2020-05-30 06:15:00,230.71,231.4,230.35,231.11
2020-05-30 06:30:00,231.11,232.73,230.99,232.45
2020-05-30 06:45:00,232.44,233.92,231.91,232.78
2020-05-30 07:00:00,232.78,233.31,231.56,232.01
2020-05-30 07:15:00,232.01,233.15,232.0,233.07
2020-05-30 07:30:00,233.07,233.37,232.31,232.33
2020-05-30 07:45:00,232.33,232.99,232.16,232.28
2020-05-30 08:00:00,232.28,232.84,232.28,232.39
2020-05-30 08:15:00,232.39,234.6,232.39,233.66
2020-05-30 08:30:00,233.66,233.89,233.19,233.22
2020-05-30 08:45:00,233.22,233.39,232.23,232.42
2020-05-30 09:00:00,232.42,232.77,231.22,231.99
2020-05-30 09:15:00,231.99,232.57,231.8,232.34
2020-05-30 09:30:00,232.34,232.73,232.13,232.38
2020-05-30 09:45:00,232.39,232.53,231.87,232.16
2020-05-30 10:00:00,232.16,232.74,231.88,232.66
2020-05-30 10:15:00,232.66,234.53,232.58,234.0
2020-05-30 10:30:00,234.0,234.0,233.0,233.01
2020-05-30 10:45:00,233.01,234.9,233.0,234.75
2020-05-30 11:00:00,234.75,238.04,234.31,237.1
2020-05-30 11:15:00,237.1,238.06,236.46,237.69
2020-05-30 11:30:00,237.83,238.1,235.27,235.69
2020-05-30 11:45:00,235.69,237.26,235.56,236.84
2020-05-30 12:00:00,236.84,237.46,235.74,235.93
2020-05-30 12:15:00,235.87,236.0,234.57,235.01
2020-05-30 12:30:00,235.01,236.3,234.81,236.3
